date,KO US EQUITY,PEP US EQUITY
2023-01-03,62.95,179.41
2023-01-04,62.92,178.97
2023-01-05,62.2,177.1
2023-01-06,63.4,181.1
2023-01-09,62.61,179.33
2023-01-10,62.13,177.85
2023-01-11,62.01,178.05
2023-01-12,61.21,175.78
2023-01-13,61.43,175.24
2023-01-17,61.68,176.06
2023-01-18,59.81,171.62
2023-01-19,59.72,169.63
2023-01-20,60.08,169.88
2023-01-23,60.23,169.12
2023-01-24,60.55,170.69
2023-01-25,60.93,171.93
2023-01-26,60.81,170.22
2023-01-27,60.49,169.62
2023-01-30,60.64,169.48
2023-01-31,61.32,171.02
2023-02-01,61.33,171.56
2023-02-02,60.28,169.97
2023-02-03,59.83,169.12
2023-02-06,60.17,171.82
2023-02-07,60.07,171.56
2023-02-08,59.72,171.16
2023-02-09,59.62,172.78
2023-02-10,59.62,176.2
2023-02-13,60.6,177.77
2023-02-14,59.59,175.77
2023-02-15,59.59,176.01
2023-02-16,59.22,175.51
2023-02-17,60.12,176.28
2023-02-21,59.8,176.18
2023-02-22,59.98,176.12
2023-02-23,60.09,176.31
2023-02-24,59.84,175.96
2023-02-27,59.82,175.91
2023-02-28,59.51,173.53
2023-03-01,58.86,171.33
2023-03-02,59.72,173.32
2023-03-03,59.44,173.15
2023-03-06,60.36,173.5
2023-03-07,60.01,172.64
2023-03-08,60.04,173.11
2023-03-09,59.46,171.8
2023-03-10,59.21,172.03
2023-03-13,59.81,173.71
2023-03-14,60.03,173.53
2023-03-15,60.43,176.63
2023-03-16,60.3,176.51
2023-03-17,60.02,175.13
2023-03-20,60.6,177.59
2023-03-21,60.32,178.01
2023-03-22,60.05,176.51
2023-03-23,59.92,175.65
2023-03-24,60.9,179.09
2023-03-27,61.35,179.49
2023-03-28,61.42,179.43
2023-03-29,61.86,180.67
2023-03-30,61.85,180.83
2023-03-31,62.03,182.3
2023-04-03,62.4,182.5
2023-04-04,62.21,181.85
2023-04-05,62.8,183.64
2023-04-06,62.84,184.36
2023-04-10,62.69,183.2
2023-04-11,62.58,182.92
2023-04-12,62.69,182.56
2023-04-13,63.15,184.38
2023-04-14,63.05,183.51
2023-04-17,63.46,184.45
2023-04-18,63.56,184.83
2023-04-19,63.68,184.72
2023-04-20,63.96,185.33
2023-04-21,64.05,185.41
2023-04-24,63.95,185.5
2023-04-25,63.85,189.71
2023-04-26,63.55,188.54
2023-04-27,63.68,189.69
2023-04-28,64.15,190.89
2023-05-01,64.3,191.68
2023-05-02,64.01,192.25
2023-05-03,63.65,192.18
2023-05-04,63.72,193.38
2023-05-05,64.02,194.27
2023-05-08,63.92,193.35
2023-05-09,63.39,194.14
2023-05-10,63.5,194.27
2023-05-11,63.86,195.34
2023-05-12,64.11,196.12
2023-05-15,63.94,194.27
2023-05-16,63.22,193.43
2023-05-17,63.15,192.06
2023-05-18,62.8,191.56
2023-05-19,62.83,191.84
2023-05-22,61.51,186.64
2023-05-23,61.4,186.07
2023-05-24,60.88,184.89
2023-05-25,60.41,183.8
2023-05-26,60.26,183.58
2023-05-30,59.78,181.61
2023-05-31,59.66,182.35
2023-06-01,60.0,182.19
2023-06-02,61.16,184.06
2023-06-05,60.75,184.19
2023-06-06,60.31,181.56
2023-06-07,60.22,180.11
2023-06-08,60.37,182.1
2023-06-09,60.47,182.35
2023-06-12,60.21,181.9
2023-06-13,60.45,181.54
2023-06-14,60.86,183.17
2023-06-15,61.23,185.71
2023-06-16,61.67,186.04
2023-06-20,61.26,185.31
2023-06-21,61.43,185.43
2023-06-22,61.85,187.35
2023-06-23,61.2,186.07
2023-06-26,61.22,184.89
2023-06-27,61.09,186.22
2023-06-28,60.52,183.7
2023-06-29,60.02,183.88
2023-06-30,60.22,185.22
2023-07-03,60.58,185.6
2023-07-05,61.03,186.58
2023-07-06,60.56,186.6
2023-07-07,59.76,183.08
2023-07-10,59.31,184.3
2023-07-11,59.52,183.98
2023-07-12,59.84,183.17
2023-07-13,60.35,187.53
2023-07-14,60.9,188.21
2023-07-17,60.81,185.63
2023-07-18,60.57,184.45
2023-07-19,61.64,186.26
2023-07-20,62.39,189.3
2023-07-21,62.44,190.16
2023-07-24,62.46,190.92
2023-07-25,62.25,191.36
2023-07-26,63.05,191.6
2023-07-27,62.44,188.53
2023-07-28,62.48,190.31
2023-07-31,61.93,187.46
2023-08-01,61.77,186.82
2023-08-02,61.96,188.31
2023-08-03,61.64,187.12
2023-08-04,60.71,184.6
2023-08-07,61.19,186.89
2023-08-08,60.92,184.44
2023-08-09,61.06,183.98
2023-08-10,60.92,183.75
2023-08-11,61.17,184.04
2023-08-14,60.88,183.62
2023-08-15,60.47,181.35
2023-08-16,60.48,181.21
2023-08-17,60.61,178.45
2023-08-18,60.95,178.18
2023-08-21,60.43,177.05
2023-08-22,60.06,175.7
2023-08-23,60.27,178.12
2023-08-24,60.11,177.18
2023-08-25,60.39,179.42
2023-08-28,60.56,180.25
2023-08-29,60.5,180.93
2023-08-30,60.47,181.08
2023-08-31,59.83,177.92
2023-09-01,59.31,175.32
2023-09-05,58.82,174.16
2023-09-06,58.78,174.73
2023-09-07,58.33,176.4
2023-09-08,58.33,176.27
2023-09-11,58.88,178.93
2023-09-12,58.3,178.27
2023-09-13,58.44,179.68
2023-09-14,58.46,181.23
2023-09-15,57.94,179.84
2023-09-18,58.3,179.38
2023-09-19,58.18,178.32
2023-09-20,58.44,178.38
2023-09-21,57.54,175.38
2023-09-22,57.6,175.27
2023-09-25,57.0,174.33
2023-09-26,56.53,172.52
2023-09-27,55.95,169.57
2023-09-28,55.81,169.5
2023-09-29,55.98,169.44
2023-10-02,55.48,169.17
2023-10-03,54.88,167.7
2023-10-04,55.04,168.91
2023-10-05,52.38,160.1
2023-10-06,53.14,160.29
2023-10-09,52.88,161.36
2023-10-10,54.03,164.4
2023-10-11,53.71,162.62
2023-10-12,52.81,158.08
2023-10-13,52.89,160.0
2023-10-16,53.43,161.08
2023-10-17,54.07,160.37
2023-10-18,54.05,162.03
2023-10-19,54.35,160.56
2023-10-20,54.57,160.0
2023-10-23,54.08,160.08
2023-10-24,55.64,162.19
2023-10-25,56.12,162.35
2023-10-26,55.78,161.41
